,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Ranchi,Ranchi,GPE,-0.13194444,0.22916667,en,2.70000000,4358136-5,1258526,P,23.34316000,85.30940000,ASIA,India,SAS
Maharashtra,Maharashtra,GPE,0.00694444,0.01388889,en,2.40000000,4037057-4,8659036,L,19.28911000,76.95374000,ASIA,India,SAS
Nepal,Nepal,GPE,-0.13715278,0.63368056,en,2.40000000,4041612-4,1282988,A,28.00000000,84.00000000,ASIA,Nepal,TIB
Noida,Noida,GPE,-0.20056818,0.35625000,en,2.20000000,7669301-6,7279746,P,28.58000000,77.33000000,ASIA,India,SAS
New Delhi,New Delhi,GPE,0.27892562,1.15702479,en,2.20000000,4011371-1,1261481,P,28.62137000,77.21480000,ASIA,India,SAS
Delhi NCR,Delhi NCR,GPE,0.07670455,0.51136364,en,2.20000000,,9972750,L,28.66047000,77.07733000,ASIA,India,SAS
Canada,Canada,GPE,0.38095238,0.88095238,en,2.10000000,4029456-0,6251999,A,60.10867000,-113.64258000,NORTH-AMERICA,Canada,NWN
Kochi,Kochi,GPE,0.47368421,0.55263158,en,1.90000000,4285343-6,1859146,P,33.55000000,133.53333000,ASIA,Japan,EAS
England,England,GPE,0.36602871,0.77631579,en,1.90000000,4014770-8,11919979,L,44.00000000,-71.00000000,NORTH-AMERICA,United States,ENA
Himachal Pradesh,Himachal Pradesh,GPE,0.15460526,1.44407895,en,1.90000000,4240080-6,1270101,A,31.91667000,77.25000000,ASIA,India,TIB
Kolkata,Kolkata,GPE,0.05263158,0.21052632,en,1.90000000,4029344-0,1275004,P,22.56263000,88.36304000,ASIA,India,SAS
Earth,Earth,LOC,-0.06578947,0.19736842,en,1.90000000,,0,,,,,,
Russia,Russia,GPE,0.37200957,0.76913876,en,1.90000000,4076899-5,2017370,A,60.00000000,100.00000000,ASIA,Russia,ESB
Indore,Indore,GPE,0.22567783,0.31366295,en,1.90000000,4368406-3,1269743,P,22.71792000,75.83330000,ASIA,India,SAS
Kanpur,Kanpur,GPE,0.00000000,0.00000000,en,1.90000000,4029504-7,1267995,P,26.46523000,80.34975000,ASIA,India,SAS
Australia,Australia,GPE,0.00000000,0.03508772,en,1.90000000,4003900-6,2077456,A,-25.00000000,135.00000000,OCEANIA,Australia,CAU
Japan,Japan,GPE,0.10526316,0.42105263,en,1.90000000,4028495-5,1861060,A,35.68536000,139.75309000,ASIA,Japan,EAS
North and Central India,North and Central India,GPE,-0.01754386,0.37280702,en,1.90000000,,4109452,P,34.55065000,-92.34099000,NORTH-AMERICA,United States,CNA
Philippines,Philippines,GPE,0.00000000,0.00000000,en,1.90000000,4045771-0,1694008,A,13.40882000,122.56155000,ASIA,Philippines,SEA
Murrah buffalo,Murrah buffalo,LOC,0.00000000,0.00000000,en,1.90000000,,0,,,,,,
Kutch,Kutch,LOC,0.12993421,0.27741228,en,1.90000000,4767141-5,1268731,A,23.58333000,70.00000000,ASIA,India,SAS
Congo,Congo,GPE,0.07894737,0.26315789,en,1.90000000,4032097-2,2260494,A,-1.00000000,15.50000000,AFRICA,Republic of the Congo,CAF
Pradesh,Pradesh,GPE,0.26315789,0.78947368,en,1.90000000,4234626-5,1264542,A,23.50000000,78.50000000,ASIA,India,SAS
Kenya,Kenya,GPE,0.09868421,0.23026316,en,1.90000000,4030236-2,192950,A,1.00000000,38.00000000,AFRICA,Kenya,SEAF
Safdarjung,Safdarjung,GPE,-0.50877193,0.56140351,en,1.90000000,,6301096,S,28.58451000,77.20578000,ASIA,India,SAS
Imphal,Imphal,GPE,-0.06944444,0.20833333,en,1.80000000,4410551-4,1269771,P,24.80805000,93.94420000,ASIA,India,SAS
Dubai,Dubai,GPE,0.00000000,0.03703704,en,1.80000000,4204044-9,292223,P,25.07725000,55.30927000,ASIA,United Arab Emirates,ARP
North-West India,North-West India,LOC,-0.11111111,0.27777778,en,1.80000000,,3580477,P,19.38197000,-81.39281000,CENTRAL-AMERICA,Cayman Islands,CAR
Uttarakhand,Uttarakhand,GPE,0.20833333,1.04166667,en,1.80000000,1358877971,1444366,A,30.25000000,79.25000000,ASIA,India,TIB
China,China,GPE,0.53906250,1.25000000,en,1.60000000,4009937-4,1814991,A,35.00000000,105.00000000,ASIA,China,EAS
Bengaluru,Bengaluru,GPE,-0.04947917,0.84635417,en,1.60000000,4004431-2,1277333,P,12.97194000,77.59369000,ASIA,India,SAS
Guwahati,Guwahati,GPE,0.05244755,0.17482517,en,1.30000000,4368296-0,1271476,P,26.18440000,91.74580000,ASIA,India,SAS
NZ,NZ,GPE,-0.02389277,0.59207459,en,1.30000000,,0,,,,,,
Roja,Roja,GPE,-0.17094017,0.74358974,en,1.30000000,7587736-3,456107,P,57.50146000,22.80881000,EUROPE,Latvia,NEU
New York,New York,GPE,0.20979021,0.69930070,en,1.30000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
Kerala,Kerala,GPE,0.00000000,0.00000000,en,1.30000000,4030266-0,1267254,A,10.41667000,76.50000000,ASIA,India,SAS
Newark,Newark,GPE,0.20979021,0.69930070,en,1.30000000,4246246-0,4143861,P,39.68372000,-75.74966000,NORTH-AMERICA,United States,ENA
NCR,NCR,GPE,-0.19230769,0.87179487,en,1.30000000,,9972750,L,28.66047000,77.07733000,ASIA,India,SAS
West Indies,West Indies,GPE,-0.31730769,0.40064103,en,1.30000000,,0,L,19.38333000,-71.21667000,,,
Bandra,Bandra,GPE,-0.35897436,0.94871795,en,1.30000000,,1332494,P,19.06667000,72.83333000,ASIA,India,SAS
Colombo,Colombo,GPE,0.00000000,0.07692308,en,1.30000000,4010404-7,1248991,P,6.93548000,79.84868000,INDIAN,Sri Lanka,EIO
Kathmandu,Kathmandu,GPE,0.31532357,0.66269841,en,1.30000000,4030036-5,1283240,P,27.70169000,85.32060000,ASIA,Nepal,TIB
Darchulakav Nagu,Darchulakav Nagu,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
GRAP-2,GRAP-2,GPE,0.15416667,0.55416667,en,1.00000000,,0,,,,,,
Delhi-Rajasthan,Delhi-Rajasthan,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Somalia,Somalia,GPE,0.00000000,0.00000000,en,1.00000000,4077509-4,51537,A,6.00000000,48.00000000,AFRICA,Somalia,NEAF
Indonesia,Indonesia,GPE,0.40000000,0.90000000,en,1.00000000,4026761-1,1643084,A,-5.00000000,120.00000000,ASIA,Indonesia,SEA
the Horn of Africa,the Horn of Africa,LOC,0.00000000,0.00000000,en,1.00000000,,333795,P,9.35000000,42.80000000,AFRICA,Ethiopia,NEAF
Goa,Goa,GPE,0.00000000,0.00000000,en,1.00000000,4021394-8,1271157,A,15.33333000,74.08333000,ASIA,India,SAS
the North-East,the North-East,LOC,0.00000000,1.00000000,en,1.00000000,,12212303,L,37.02332000,-77.36954000,NORTH-AMERICA,United States,ENA
Pondok Balik,Pondok Balik,GPE,0.40000000,0.90000000,en,1.00000000,,12442080,A,4.72083000,96.72417000,ASIA,Indonesia,SEA
Nagu,Nagu,GPE,0.00000000,0.00000000,en,1.00000000,10010875-1,1873887,P,38.56778000,125.43944000,ASIA,North Korea,EAS
Aceh province,Aceh province,GPE,0.40000000,0.90000000,en,1.00000000,,1215502,P,5.54167000,95.33333000,ASIA,Indonesia,SEA
Triveni Municipality,Triveni Municipality,GPE,-0.10000000,0.50000000,en,1.00000000,,0,,,,,,
Balasore,Balasore,GPE,0.00000000,0.75000000,en,1.00000000,4580838-7,1277599,P,21.49266000,86.93348000,ASIA,India,SAS
